entity_id	business_name	business_address	country
S1-00001	Apex Global Logistics #1	14 Victoria Boulevard, Seattle 10037	US
S1-00002	Beacon Financial Services #2	27 Oakland Street, Tokyo 10074	Japan
S1-00003	Crestview Medical Clinic #3	40 Victoria Avenue, London 10111	UK
S1-00004	Delta Precision Engineering #4	53 Oakland Street, Nice 10148	France
S1-00005	Echo Horizon Media #5	66 Victoria Avenue, Birmingham 10185	UK
S1-00006	Falcon Security Systems #6	79 Oakland Avenue, Chicago 10222	US
S1-00007	Genesis BioPharm Labs #7	92 Victoria Street, Yokohama 10259	Japan
S1-00008	Harbor Point Retail #8	105 Oakland Road, Ottawa 10296	Canada
S1-00009	Ironclad Industrial Solutions #9	118 Victoria Road, Marseille 10333	France
S1-00010	Jupiter Data Systems #10	131 Oakland Avenue, Seattle 10370	US
S1-00011	Keystone Software Labs #11	144 Victoria Road, Nice 10407	France
S1-00012	Lighthouse Creative Studio #12	157 Oakland Street, Birmingham 10444	UK
S1-00013	Matrix Cloud Services #13	170 Victoria Street, Marseille 10481	France
S1-00014	Nexus Energy Solutions #14	183 Oakland Boulevard, Delhi 10518	India
S1-00015	Orion Aerospace Dynamics #15	196 Victoria Boulevard, Birmingham 10555	UK
S1-00016	Pioneer Robotics Corp #16	209 Oakland Road, Vancouver 10592	Canada
S1-00017	Quantum Dynamics Inc #17	222 Victoria Boulevard, Tokyo 10629	Japan
S1-00018	Radiant Solar Energy #18	235 Oakland Boulevard, Edinburgh 10666	UK
S1-00019	Summit Wealth Partners #19	248 Victoria Avenue, Birmingham 10703	UK
S1-00020	Acme Technologies #20	261 Oakland Street, New York 10740	US
S1-00021	Apex Global Logistics #21	274 Victoria Avenue, London 10777	UK
S1-00022	Beacon Financial Services #22	287 Oakland Avenue, Berlin 10814	Germany
S1-00023	Crestview Medical Clinic #23	300 Victoria Street, Osaka 10851	Japan
S1-00024	Delta Precision Engineering #24	313 Oakland Road, Frankfurt 10888	Germany
S1-00025	Echo Horizon Media #25	326 Victoria Street, Bristol 10925	UK
S1-00026	Falcon Security Systems #26	339 Oakland Avenue, Berlin 10962	Germany
S1-00027	Genesis BioPharm Labs #27	352 Victoria Road, Kyoto 10999	Japan
S1-00028	Harbor Point Retail #28	365 Oakland Street, Paris 11036	France
S1-00029	Ironclad Industrial Solutions #29	378 Victoria Avenue, Berlin 11073	Germany
S1-00030	Jupiter Data Systems #30	391 Oakland Road, Delhi 11110	India
S1-00031	Keystone Software Labs #31	404 Victoria Street, Lyon 11147	France
S1-00032	Lighthouse Creative Studio #32	417 Oakland Boulevard, Paris 11184	France
S1-00033	Matrix Cloud Services #33	430 Victoria Boulevard, Lyon 11221	France
S1-00034	Nexus Energy Solutions #34	443 Oakland Boulevard, Pune 11258	India
S1-00035	Orion Aerospace Dynamics #35	456 Victoria Road, Edinburgh 11295	UK
S1-00036	Pioneer Robotics Corp #36	469 Oakland Road, Pune 11332	India
S1-00037	Quantum Dynamics Inc #37	482 Victoria Avenue, Mumbai 11369	India
S1-00038	Radiant Solar Energy #38	495 Oakland Road, Pune 11406	India
S1-00039	Summit Wealth Partners #39	508 Victoria Road, Osaka 11443	Japan
S1-00040	Acme Technologies #40	521 Oakland Avenue, Seattle 11480	US
S1-00041	Apex Global Logistics #41	534 Victoria Street, London 11517	UK
S1-00042	Beacon Financial Services #42	547 Oakland Street, Yokohama 11554	Japan
S1-00043	Crestview Medical Clinic #43	560 Victoria Street, Manchester 11591	UK
S1-00044	Delta Precision Engineering #44	573 Oakland Road, Hamburg 11628	Germany
