source1_entity_id	candidate_entity_id
S1-700000000	S2-100000001
S1-700000001	S3-500000002
S1-700000002	S2-100000007
S1-700000003	S3-500000009
S1-700000003	S2-100000011
S1-700000004	S3-500000013
S1-700000005	S2-100000016
S1-700000005	S3-500000016
S1-700000006	S2-100000020
S1-700000006	S3-500000018
S1-700000007	S2-100000023
S1-700000007	S3-500000021
S1-700000008	S2-100000027
S1-700000008	S2-100000028
S1-700000009	S3-500000023
S1-700000009	S3-500000024
S1-700000010	S3-500000026
S1-700000011	S2-100000037
S1-700000012	S3-500000032
S1-700000013	S3-500000035
S1-700000013	S2-100000045
S1-700000014	S2-100000048
S1-700000014	S3-500000038
S1-700000015	S2-100000051
S1-700000016	S3-500000042
S1-700000016	S3-500000043
S1-700000017	S2-100000057
S1-700000018	S2-100000059
S1-700000018	S2-100000060
S1-700000019	S2-100000062
S1-700000020	S2-100000065
S1-700000020	S2-100000066
S1-700000021	S3-500000060
S1-700000021	S3-500000061
S1-700000022	S3-500000064
S1-700000023	S3-500000069
S1-700000023	S3-500000070
S1-700000024	S2-100000073
S1-700000024	S3-500000073
S1-700000025	S2-100000077
S1-700000026	S3-500000078
S1-700000027	S3-500000082
S1-700000027	S3-500000083
S1-700000028	S2-100000083
S1-700000028	S3-500000087
S1-700000029	S3-500000090
S1-700000030	S3-500000094
S1-700000030	S2-100000088
S1-700000031	S2-100000091
S1-700000032	S2-100000093
S1-700000033	S3-500000104
S1-700000034	S3-500000107
S1-700000035	S3-500000111
S1-700000035	S3-500000112
S1-700000036	S3-500000117
S1-700000036	S3-500000118
S1-700000037	S2-100000103
S1-700000038	S2-100000109
S1-700000038	S3-500000121
S1-700000039	S3-500000125
S1-700000040	S3-500000129
S1-700000040	S3-500000130
S1-700000041	S3-500000131
S1-700000042	S2-100000119
S1-700000043	S2-100000123
S1-700000044	S3-500000140
S1-700000044	S2-100000126
S1-700000045	S2-100000129
S1-700000046	S2-100000131
S1-700000046	S3-500000147
S1-700000047	S3-500000150
S1-700000047	S2-100000134
S1-700000048	S2-100000136
S1-700000048	S2-100000137
S1-700000049	S3-500000156
S1-700000050	S2-100000143
S1-700000051	S2-100000147
S1-700000051	S3-500000161
S1-700000052	S2-100000151
S1-700000053	S2-100000155
S1-700000053	S3-500000165
S1-700000054	S2-100000159
S1-700000054	S3-500000167
S1-700000055	S3-500000171
S1-700000055	S3-500000172
S1-700000056	S3-500000176
S1-700000056	S2-100000162
S1-700000057	S2-100000165
S1-700000057	S2-100000166
S1-700000058	S2-100000170
S1-700000059	S2-100000174
S1-700000059	S3-500000182
S1-700000060	S3-500000184
S1-700000060	S3-500000185
S1-700000061	S3-500000188
S1-700000062	S3-500000193
S1-700000062	S3-500000194
S1-700000063	S3-500000197
S1-700000064	S3-500000203
S1-700000064	S2-100000183
S1-700000065	S2-100000187
S1-700000066	S3-500000209
S1-700000066	S2-100000189
S1-700000067	S3-500000213
S1-700000067	S2-100000191
S1-700000068	S2-100000195
S1-700000068	S2-100000196
S1-700000069	S3-500000216
S1-700000069	S2-100000200
S1-700000070	S3-500000219
S1-700000070	S3-500000220
S1-700000071	S2-100000206
S1-700000072	S2-100000209
S1-700000073	S3-500000228
S1-700000073	S2-100000212
S1-700000074	S2-100000216
S1-700000075	S3-500000233
S1-700000076	S3-500000239
S1-700000077	S2-100000219
S1-700000078	S3-500000248
S1-700000079	S2-100000225
S1-700000080	S2-100000230
S1-700000081	S3-500000254
S1-700000082	S3-500000259
S1-700000083	S3-500000263
S1-700000083	S2-100000237
S1-700000084	S3-500000266
S1-700000085	S2-100000243
S1-700000085	S2-100000244
S1-700000086	S3-500000271
S1-700000087	S3-500000274
S1-700000087	S2-100000250
S1-700000088	S3-500000277
S1-700000088	S2-100000253
S1-700000089	S2-100000256
S1-700000090	S3-500000282
S1-700000090	S3-500000283
S1-700000091	S2-100000261
S1-700000091	S2-100000262
S1-700000092	S3-500000289
S1-700000093	S3-500000294
S1-700000094	S2-100000266
S1-700000095	S2-100000270
S1-700000096	S3-500000304
S1-700000097	S2-100000274
S1-700000098	S3-500000311
S1-700000098	S2-100000279
S1-700000099	S2-100000280
S1-700000100	S3-500000318
S1-700000101	S3-500000320
S1-700000102	S3-500000323
S1-700000102	S2-100000291
S1-700000103	S3-500000325
S1-700000103	S3-500000326
S1-700000104	S2-100000299
S1-700000104	S2-100000300
S1-700000105	S2-100000303
S1-700000106	S3-500000332
S1-700000107	S2-100000308
S1-700000108	S2-100000313
S1-700000109	S3-500000339
S1-700000109	S2-100000317
S1-700000110	S3-500000343
S1-700000111	S3-500000346
S1-700000112	S2-100000323
S1-700000113	S2-100000325
S1-700000113	S2-100000326
S1-700000114	S2-100000330
S1-700000115	S2-100000334
S1-700000116	S3-500000362
S1-700000116	S2-100000336
S1-700000117	S2-100000340
S1-700000118	S2-100000345
S1-700000119	S3-500000367
S1-700000119	S2-100000349
S1-700000120	S3-500000372
S1-700000121	S3-500000374
S1-700000121	S3-500000375
S1-700000122	S2-100000356
S1-700000122	S2-100000357
S1-700000123	S2-100000359
S1-700000124	S2-100000362
S1-700000125	S2-100000366
S1-700000125	S2-100000367
S1-700000126	S2-100000371
S1-700000127	S3-500000388
S1-700000128	S3-500000391
S1-700000129	S2-100000383
S1-700000130	S3-500000397
S1-700000131	S3-500000401
S1-700000132	S3-500000404
S1-700000132	S2-100000390
S1-700000133	S2-100000393
S1-700000133	S3-500000407
S1-700000134	S3-500000410
S1-700000134	S2-100000396
S1-700000135	S2-100000399
S1-700000136	S2-100000402
S1-700000136	S2-100000403
S1-700000137	S3-500000418
S1-700000138	S2-100000408
S1-700000138	S2-100000409
S1-700000139	S3-500000424
S1-700000140	S2-100000415
S1-700000140	S3-500000427
S1-700000141	S2-100000419
S1-700000142	S3-500000433
S1-700000143	S2-100000424
S1-700000144	S3-500000438
S1-700000144	S2-100000428
S1-700000145	S3-500000441
S1-700000146	S3-500000444
S1-700000146	S3-500000445
S1-700000147	S2-100000436
S1-700000148	S2-100000441
S1-700000149	S2-100000444
S1-700000150	S2-100000446
S1-700000151	S3-500000459
S1-700000152	S3-500000463
S1-700000152	S2-100000451
S1-700000153	S2-100000452
S1-700000153	S2-100000453
S1-700000154	S3-500000470
S1-700000154	S3-500000471
S1-700000155	S3-500000472
S1-700000156	S3-500000477
S1-700000157	S3-500000482
S1-700000158	S3-500000487
S1-700000158	S2-100000463
S1-700000159	S2-100000467
S1-700000159	S3-500000489
S1-700000160	S3-500000493
S1-700000160	S2-100000469
S1-700000161	S3-500000496
S1-700000161	S3-500000497
S1-700000162	S2-100000474
S1-700000163	S2-100000478
S1-700000164	S2-100000483
S1-700000165	S3-500000504
S1-700000165	S2-100000488
S1-700000166	S3-500000508
S1-700000166	S3-500000509
S1-700000167	S2-100000492
S1-700000168	S2-100000494
S1-700000169	S3-500000518
S1-700000169	S3-500000519
S1-700000170	S2-100000500
S1-700000170	S3-500000522
S1-700000171	S2-100000504
